fare_id,price,currency_type,payment_method,transfers,transfer_duration
HR-5b869c98-7544-11e2-abb7-1231392484b4,4.00,USD,1,0,0
HR-5b86a986-7544-11e2-abb7-1231392484b4,7.00,USD,1,0,0
HR-5b86b674-7544-11e2-abb7-1231392484b4,75.00,USD,1,0,0
HR-5b86c36c-7544-11e2-abb7-1231392484b4,274.50,USD,1,0,0
HR-5b870ee4-7544-11e2-abb7-1231392484b4,309.50,USD,1,0,0
HR-5b871cb8-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
HR-5b872c76-7544-11e2-abb7-1231392484b4,6.00,USD,1,0,0
HR-5b87398c-7544-11e2-abb7-1231392484b4,4.00,USD,1,0,0
HR-5b874684-7544-11e2-abb7-1231392484b4,5.50,USD,1,0,0
HR-5b87537c-7544-11e2-abb7-1231392484b4,56.50,USD,1,0,0
HR-5b876074-7544-11e2-abb7-1231392484b4,196.00,USD,1,0,0
HR-5b876eac-7544-11e2-abb7-1231392484b4,231.00,USD,1,0,0
HR-5b877c26-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
HR-5b878f40-7544-11e2-abb7-1231392484b4,7.00,USD,1,0,0
HR-5b879ca6-7544-11e2-abb7-1231392484b4,3.50,USD,1,0,0
HR-5b87a994-7544-11e2-abb7-1231392484b4,6.50,USD,1,0,0
HR-5b87b68c-7544-11e2-abb7-1231392484b4,65.75,USD,1,0,0
HR-5b87cadc-7544-11e2-abb7-1231392484b4,229.00,USD,1,0,0
HR-5b87d7e8-7544-11e2-abb7-1231392484b4,264.00,USD,1,0,0
HR-5b88761c-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
HR-5b88d468-7544-11e2-abb7-1231392484b4,9.00,USD,1,0,0
HR-5b88e2dc-7544-11e2-abb7-1231392484b4,6.00,USD,1,0,0
HR-5b88f060-7544-11e2-abb7-1231392484b4,8.25,USD,1,0,0
HR-5b88fdee-7544-11e2-abb7-1231392484b4,83.00,USD,1,0,0
HR-5b890f82-7544-11e2-abb7-1231392484b4,272.00,USD,1,0,0
HR-5b8926fc-7544-11e2-abb7-1231392484b4,310.00,USD,1,0,0
HR-5b8934da-7544-11e2-abb7-1231392484b4,1.25,USD,1,0,0
