trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
PIER11-PAULUS-WEEKDAY-03,6:54:00,6:54:00,PAULUS,2,,0,,
WFC-HOBOKEN14-WEEKDAY-02,6:54:00,6:54:00,HOBOKEN14STATION,2,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-03,6:55:00,6:55:00,PIER11,1,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-03,6:55:00,6:55:00,PIER11,2,,0,,
LIBERTY-PIER11-WEEKDAY-04,6:55:00,6:55:00,PIER11,2,,0,,
PIER11-LIBERTY-WEEKDAY-03,6:55:00,6:55:00,LIBERTYHARBOR,2,,0,,
PIER11-IMPERIAL-WEEKDAY-02,6:56:00,6:56:00,IMPERIAL,2,,0,,
PIER11-IMPERIAL-WEEKDAY-03,6:58:00,6:58:00,PIER11,1,,0,,
BEACON-NEWBURGH-WEEKDAY-03,07:00:00,07:00:00,NEWBURGH,2,,0,,
IMPERIAL-PIER11-WEEKDAY-03,6:58:00,6:58:00,PIER11,2,,0,,
MIDTOWN-HOBOKEN14-WEEKDAY-03,6:58:00,6:58:00,HOBOKEN14STATION,2,,0,,
PAULUS-MIDTOWN-WEEKDAY-01,6:58:00,6:58:00,MIDTOWN,2,,0,,
BELFORD-PAULUS-WEEKDAY-02,7:00:00,7:00:00,BELFORD,1,,0,,
BELFORD-WFC-WEEKDAY-03,7:00:00,7:00:00,BELFORD,1,,0,,
BELFORD-PIER11-WEEKDAY-03,7:00:00,7:00:00,BELFORD,1,,0,,
HOBOKEN14-MIDTOWN-WEEKDAY-04,07:00:00,07:00:00,HOBOKEN14STATION,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-06,7:00:00,7:00:00,HOBOKENNJTTSTATION,1,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-05,7:00:00,7:00:00,HOBOKENNJTTSTATION,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-03,6:48:00,6:48:00,MIDTOWN,2,,0,,
IMPERIAL-WFC-WEEKDAY-03,7:00:00,7:00:00,IMPERIAL,1,,0,,
IMPERIAL-PIER11-WEEKDAY-04,7:00:00,7:00:00,IMPERIAL,1,,0,,
LIBERTY-PIER11-WEEKDAY-05,7:00:00,7:00:00,LIBERTYHARBOR,1,,0,,
