shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SANDYHOOK_shape,40.691768,-74.02781,24,
SANDYHOOK_shape,40.690824,-74.028454,25,
SANDYHOOK_shape,40.689002,-74.029012,26,
SANDYHOOK_shape,40.686073,-74.029655,27,
SANDYHOOK_shape,40.667749,-74.03296,28,
SANDYHOOK_shape,40.657462,-74.034719,29,
SANDYHOOK_shape,40.656062,-74.035063,30,
SANDYHOOK_shape,40.654988,-74.035535,31,
SANDYHOOK_shape,40.636883,-74.044118,32,
SANDYHOOK_shape,40.636232,-74.04429,33,
SANDYHOOK_shape,40.626787,-74.045534,34,
SANDYHOOK_shape,40.625223,-74.045577,35,
SANDYHOOK_shape,40.602875,-74.042358,36,
SANDYHOOK_shape,40.588993,-74.040942,37,
SANDYHOOK_shape,40.553396,-74.03811,38,
SANDYHOOK_shape,40.510406,-74.034762,39,
SANDYHOOK_shape,40.470555,-74.03163,40,
SANDYHOOK_shape,40.467715,-74.030514,41,
SANDYHOOK_shape,40.465789,-74.027381,42,
SANDYHOOK_shape,40.464483,-74.022703,43,
SANDYHOOK_shape,40.463732,-74.016953,44,
SANDYHOOK_shape,40.463764,-74.011889,45,
SANDYHOOK_shape,40.464091,-74.009399,46,
SANDYHOOK_shape,40.464548,-74.007683,47,
SANDYHOOK_to_PIER79_shape,40.760261,-74.004035,1,
SANDYHOOK_to_PIER79_shape,40.761593,-74.007254,2,
SANDYHOOK_to_PIER79_shape,40.761691,-74.007511,3,
SANDYHOOK_to_PIER79_shape,40.761658,-74.007854,4,
SANDYHOOK_to_PIER79_shape,40.761561,-74.008155,5,
SANDYHOOK_to_PIER79_shape,40.761333,-74.008412,6,
SANDYHOOK_to_PIER79_shape,40.753629,-74.01412,7,
SANDYHOOK_to_PIER79_shape,40.753369,-74.014292,8,
SANDYHOOK_to_PIER79_shape,40.753011,-74.014421,9,
SANDYHOOK_to_PIER79_shape,40.717469,-74.022145,10,
